ime,kalorije,kjoule,voda,proteini,ogljikovi hidrati,sladkor,mascobe,vlaknine
Cordon bleu vegetarian,249,1040,52.5,17.5,9.0,9.0,15.0,5.0
Coriander leaf raw ,37,157,84.9,4.0,1.0,1.0,0.0,9.1
Corn flour whole grain yellow,365,1526,12.1,8.9,75.0,75.0,2.8,0.2
Corn oil (maize oil),868,3632,25.0,0.0,0.0,0.0,96.5,0.0
Corn on the cob cooked,127,532,69.9,3.4,23.1,23.1,2.1,0.5
Corn yellow canned,121,507,68.5,3.5,22.5,22.5,1.0,3.5
Corn yellow raw,354,1480,11.3,9.2,65.5,65.5,3.8,9.2
Corned beef,225,943,64.7,12.8,3.5,3.5,18.0,0.0
Cornflakes,376,1577,5.3,7.9,81.5,81.5,0.8,3.5
Cornstarch,370,1547,7.6,0.3,90.5,90.5,0.1,0.5
Couscous prepared,147,618,69.5,7.5,14.0,14.0,6.5,1.5
Couscous raw,368,1538,7.0,12.5,74.0,74.0,1.0,4.5
Crab mixed species raw,85,354,77.0,17.0,1.0,1.0,1.4,0.0
Cracker light,358,1500,5.5,12.0,63.5,63.5,2.5,15.5
Crackers crispbread Sandwich plain,481,2011,8.1,11.5,48.0,48.0,26.0,5.4
Crackers crispbread extra fiber,352,1471,9.0,13.0,45.0,45.0,8.0,24.0
Crackers crispbread plain ,388,1622,9.5,12.0,65.0,65.0,7.5,5.0
Crackers crispbread poppy seed,401,1676,6.5,11.0,66.0,66.0,8.5,7.0
Crackers crispbread reduced fat,341,1425,7.8,10.0,64.0,64.0,1.2,16.0
Dab flatfish Atlantic cooked,112,470,75.1,20.7,0.0,0.0,3.2,0.0
Dab flatfish Atlantic raw,95,400,79.0,17.0,0.0,0.0,3.0,0.0
Dagoe leaves,35,150,89.5,3.5,4.8,4.8,0.0,1.2
Dandelion green raw,56,236,85.4,2.7,9.2,9.2,0.7,1.0
Danish pastry apricots,278,1162,41.3,5.2,35.3,35.3,11.8,5.4
Danish pastry chocolate filling,382,1597,20.0,7.1,30.1,30.1,25.9,
Danish pastry raisins,283,1182,37.6,5.8,36.1,36.1,11.0,8.5
Date candied,286,1195,24.2,1.8,65.0,65.0,0.0,8.0
Date fresh,152,638,58.8,2.2,33.0,33.0,0.0,5.0
Dear game meat raw,121,509,72.8,23.0,0.0,0.0,3.2,0.0
Donuts plain,440,1839,18.5,4.5,50.0,50.0,24.5,1.5
Donuts plain sugared or glazed,416,1739,21.5,5.5,48.5,48.5,22.0,1.5
Donuts with creme filling,372,1555,35.5,7.0,31.0,31.0,24.5,1.0
Duck wild meat and skin raw,225,944,63.7,18.1,0.0,0.0,17.2,0.0
Eel mixed species raw,200,838,68.5,14.5,0.0,0.0,16.0,0.0
Eel river raw,213,893,66.2,16.0,0.0,0.0,16.8,0.0
Eel smoked,244,1019,61.7,17.8,0.0,0.0,19.5,0.0
