id_recepta,kolicina,enota,sestavina
65,6,ounces,canned light coconut milk

65,2,teaspoons,Asian fish sauce

65,1/4,cup,fresh cilantro or scallions

66,14,ounces,sweet potato

66,1,pound,93% lean ground turkey

66,1/4,cup,chopped onion

66,2,tablespoons,tomato paste

66,3/4,cups,canned black beans

66,3/4,cups,corn kernels

66,1,large,tomato

66,1,whole,jalapeño

66,1,whole,garlic cloves

66,2,tablespoons,chopped cilantro

66,1 1/2,teaspoon,cumin

66,1 1/4,teaspoon,kosher salt

66,1/2,cup,chicken broth

66,4,ounces,avocado

67,½,ounce container,fresh dill

67,2,quarts,low sodium chicken broth

67,1 ½,pounds,boneless skinless chicken thighs

67,3/4,cup,uncooked white rice

67,2,large,eggs

67,¼,cup,lemon juice

67,1/2,teaspoon,kosher salt

68,8,slices,bacon

68,1,large head,broccoli florets 

68,⅓,cup,red onion

68,½,cup,dried unsweetened cranberries

68,½,cup,sunflower seeds

68,¼,cup,crumbled goat cheese

68,½,cup,mayonnaise

68,¼,cup,plain fat free Greek yogurt

69,2,ounces,pancetta

69,1,medium,onion

69,2,cloves,garlic

69,½,tsp,red pepper flakes

69,1,cup,reduced sodium chicken broth

69,1,tablespoon,red wine vinegar

69,3,bunches,flat kale

70,8,ounces,whole wheat linguine

70,1,teaspoon,kosher salt

70,1,tablespoon,olive oil

70,4,whole,garlic cloves

70,1/4,teaspoon,red pepper flakes

70,1/4,teaspoon,freshly ground black pepper

70,1/2,cup,dry white wine

70,2,cups,cherry tomatoes

70,8,ounce,bag baby spinach

70,2,15-ounce cans,cannellini beans or navy beans

70,1/4,cup,lemon juice

70,1,tablespoon,unsalted butter or vegan butter

70,1/2,cup,fresh parsley

71,2,tablespoons,extra-virgin olive oil

71,1,large,onion

71,1,tsp,kosher salt

71,3,whole,garlic cloves

71,3,tbsp,tomato paste

71,1,teaspoon,smoked paprika

71,1/2,teaspoon,celery seeds

71,1,pound,Russet or other starchy potatoes

71,1,pound,beets

71,4,cups,chicken, beef or vegetable stock

71,1,tablespoon,red wine vinegar

72,7,ounces,zucchini

72,1/2,medium,banana

72,1/3,cup,egg white

72,1/3,cup,quick oats

72,1/3,cup,milk of choice

72,1/8,teaspoon,cinnamon

72,1/4,cup,blueberries

72,1/2,ounce,slivered almonds

73,2,tsp,olive oil

73,1,medium,onion

73,4,whole,garlic cloves

73,1/2,medium,red bell pepper

73,1/4,cup,cilantro

73,5,medium,bell pepper

73,14,oz,shredded cooked chicken breast

73,3/4,teaspoon,cumin

73,1/2,teaspoon,adobo seasoning

73,15.5,oz,can white beans

73,1/2,cup,reduced fat shredded cheddar

74,2,tablespoon,extra-virgin olive oil

74,3/4,teaspoon,garlic powder

74,3/4,teaspoon,sweet paprika

74,3/4,teaspoon,dried parsley

74,1/4,teaspoon,kosher salt

74,32,jumbo,peeled and deveined shrimp

75,4,whole,chicken cutlets

75,2,tsp,olive oil

75,2,medium,yellow onions

75,1,tablespoon,balsamic vinegar

75,1,tablespoon,Worcestershire sauce

75,½,teaspoon,dried thyme or 1 teaspoon fresh thyme leaves

75,3,ounces,Gruyère cheese

75,½,cup,all-purpose flour

75,1,teaspoon,kosher salt

75,½,teaspoon,paprika

75,2,teaspoons,unsalted butter

75,1/2,cup,chicken broth

76,1,medium,lemon

76,1,whole,garlic clove

76,1/4,cup,finely grated Parmesan cheese

76,1/4,cup,mayonnaise

76,3,pieces,anchovy fillets

77,12,ounce,package hearts of palm noodles

77,8,ounces,ground chicken

77,1,teaspoons,sesame oil

77,3,whole,garlic cloves

77,¼,cup,reduced sodium soy sauce 

77,1,tablespoon,hoisin

77,1,tablespoon,sambal oelek

78,3,8 ounce,boneless skinless chicken breasts

78,1,teaspoon,olive or canola oil

78,1/2,cup,diced red onion

78,1/2,tsp,paprika

78,1/2,tsp,cumin

78,1/4,teaspoon,kosher salt

78,1,cup,canned low sodium black beans

78,1/2,cup,buffalo sauce

78,3,cups,cooked brown rice

78,1/2,cup,part-skim cheddar cheese

78,1/4,cup,chopped scallions

79,1/2,medium,lemon

79,2,cups,feta cheese

79,1/2,cup,plain low-fat Greek yogurt

79,2,tablespoons,extra virgin olive oil

80,1 1/2,pounds,baby bella mushrooms

80,10,ounces,frozen chopped spinach

80,4,ounces,cream cheese

80,½,cup,freshly grated parmesan cheese

80,1,cup,part-skim mozzarella cheese

80,¼,cup,chopped scallions

80,2,cloves,garlic

80,¼,cup,light sour cream

80,2,tablespoons,Italian seasoned breadcrumbs

81,8,oz,wheat ciabatta bread

81,12,oz,turkey breakfast sausage

81,2,cups,fat-free milk

81,1-1/2,cups,reduced-fat shredded sharp cheddar cheese

81,10,large,eggs

81,1,cup,green onions

81,1,cup,sliced mushrooms

81,1/2,tsp,paprika

81,1,tsp,kosher salt

81,2,tbsp,grated Parmesan cheese

82,1,cup,oats

82,2,cups,water

82,1,tablespoon,pure maple syrup

82,1/4,teaspoon,cinnamon

82,1/3,cup,egg whites

82,2,cups,mixed fresh berries

82,1,medium,ripe banana

82,1/4,cup,chopped pecans or walnuts

83,14,ounces,mild Italian chicken sausage

83,1/2,medium,yellow onion

83,1,cup,dry orzo

83,3,cups,low sodium chicken broth

83,3,cups,packed baby spinach

83,1/4,cup,freshly grated parmesan

84,1,cup,quick cooking rolled oats

84,1/2,cup,almond flour

84,1/4,cup,of honey

84,1,large,egg

84,1/4,cup,melted coconut oil

84,1,teaspoon,vanilla extract

84,1/2,teaspoon,baking powder

84,1/4,teaspoon,kosher salt

84,1/2,cup,sugar free dark chocolate chips

85,16,ounce,refrigerated or homemade pizza dough

85,1 1/2,tbsp,olive oil

85,3/4,tsp,kosher salt

85,8,ounces,thinly sliced cremini mushrooms

85,1,medium,red onion

85,3,cup,baby spinach

85,3,cloves,garlic

85,1,cup,part-skim shredded mozzarella cheese

86,3,cloves,garlic

86,2,tbsp,lemon juice

86,2,tsp,Dijon mustard

86,1,tsp,olive oil

86,1/4,tsp,fresh ground black pepper

86,1,pound,pork tenderloin

86,1 1/2,ounces,part skim mozzarella cheese

86,2,cups,fresh baby spinach

86,2,tbsp,chopped sun dried tomatoes

86,1,ounce,thin sliced prosciutto

87,2,large,yellow onion

87,1/2,teaspoon,kosher salt

87,2,tablespoons,extra virgin olive oil

87,12,ounces,peeled and sliced butternut squash

87,1/2,cup,grated Parmesan cheese

87,2,teaspoons,fresh thyme leaves

87,1,large,egg

88,3,pound,trimmed whole chicken

88,1,pint,1% buttermilk

89,8,slices,center-cut bacon

89,1/2,cup,finely diced shallots

89,8,ounces,shredded Gruyère cheese

89,12,large,egg

89,1,cup,nonfat milk

89,1/2,teaspoon,kosher salt

90,4,tablespoons,lemon juice

90,4,tablespoons,olive oil

90,1/2,teaspoon,kosher salt

90,4,cups,cooked quinoa

90,1,cup,shredded brussels sprouts

90,1,cup,shredded red cabbage

90,1,cup,shredded or thin sliced carrots

90,1,cup,yellow bell peppers

90,1,cup,diced mini cucumbers

90,1,cup,halved cherry tomatoes

92,2,tablespoons,lemon juice

92,3,cloves,garlic

92,1,cup,Greek yogurt

92,1/2,cup,finely grated Parmesan cheese

92,1/4,cup,light mayonnaise

92,3,pieces,anchovy fillets

92,1 1/2,teaspoons,Dijon mustard

92,1/2,teaspoon,freshly ground black pepper

93,3/4,cup,vodka sauce

93,2,8-ounce,boneless chicken breasts

93,1,teaspoon,kosher salt

93,1,large,egg

93,1,cup,breadcrumbs

93,4,slices,fresh mozzarella cheese

93,1/2,cup,sliced hot jarred cherry peppers

94,24,medium,oysters

94,1/2,tablespoon,extra virgin olive oil

94,2,medium,shallots

94,2,ounces,1/3 less fat cream cheese

94,3,tablespoons,half & half cream

94,3,tablespoons,grated Pecorino Romano

94,1/4,cup,plain or gluten-free panko crumbs

95,2,large,fennel bulbs

95,1,small,yellow onion

95,1 1/2,teaspoons,Kosher salt and freshly ground black pepper

95,3/4,cup,vegetable or chicken broth

95,2,ounce,about 1/2 cup grated Gruyere cheese

95,1,ounce,about 1/2 cup finely grated Parmesan cheese

95,1/3,cup,Panko breadcrumbs

95,1/8,teaspoon,freshly ground nutmeg

96,¼,cup,quick cooking steel cut oats

96,2,ounces,raw chicken breakfast sausage

96,1 1/2,teaspoons,unsalted butter

96,4,medium,baby bella mushrooms

96,2,tablespoons,Parmesan cheese

96,1,large,egg

97,8,oz,chicken thighs

97,1/4,cup,water chestnuts

97,1/4,cup,dried shiitake mushrooms

97,1,tbsp,reduced sodium soy sauce

97,1/4,tsp,dark soy sauce

97,1/2,tsp,oyster sauce

97,1 1/2,tsp,sesame oil

97,1,tbsp,rice wine or dry sherry

97,1/2,tsp,sugar

97,2,cloves,garlic

97,6,large,iceberg lettuce leaves

97,2,tbsp,diced scallions

